City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Chapais,49.7834,-74.8492,38.98,70,100,6.38,CA,2021-10-26 23:27:31,overcast clouds
1,Yulara,-25.2406,130.9889,84.04,37,34,13.8,AU,2021-10-26 23:27:32,scattered clouds
2,East London,-33.0153,27.9116,66.9,85,94,20.42,ZA,2021-10-26 23:27:32,light rain
3,Mar Del Plata,-38.0023,-57.5575,62.87,69,0,4.0,AR,2021-10-26 23:27:33,clear sky
4,Shakawe,-18.3667,21.85,71.87,69,72,5.19,BW,2021-10-26 23:27:33,broken clouds
5,Aklavik,68.2191,-135.0107,27.43,86,90,0.0,CA,2021-10-26 23:27:34,light snow
6,Xam Nua,20.4197,104.0439,57.67,99,95,1.97,LA,2021-10-26 23:27:34,overcast clouds
7,Hermanus,-34.4187,19.2345,66.9,82,100,16.64,ZA,2021-10-26 23:27:35,overcast clouds
8,Nanakuli,21.3906,-158.1547,86.04,51,20,12.66,US,2021-10-26 23:27:35,few clouds
9,Port-Gentil,-0.7193,8.7815,76.96,94,90,9.22,GA,2021-10-26 23:27:35,overcast clouds
10,Peace River,56.2501,-117.286,53.91,62,20,6.91,CA,2021-10-26 23:26:24,few clouds
11,Chengde,40.9725,117.9361,42.28,55,0,4.25,CN,2021-10-26 23:27:36,clear sky
12,Kavieng,-2.5744,150.7967,84.18,68,87,5.88,PG,2021-10-26 23:27:37,overcast clouds
13,Geraldton,-28.7667,114.6,63.01,67,40,19.57,AU,2021-10-26 23:27:38,scattered clouds
14,Hays,30.0502,-98.0336,81.01,80,97,11.01,US,2021-10-26 23:27:38,overcast clouds
15,Port Alfred,-33.5906,26.891,66.6,84,92,26.89,ZA,2021-10-26 23:27:39,overcast clouds
16,Airai,-8.9266,125.4092,69.58,57,82,1.79,TL,2021-10-26 23:27:39,broken clouds
17,Ushuaia,-54.8,-68.3,42.46,65,20,20.71,AR,2021-10-26 23:27:08,light rain
18,Kapaa,22.0752,-159.319,84.18,70,1,3.0,US,2021-10-26 23:27:04,clear sky
19,Bluff,-46.6,168.3333,56.08,81,79,2.71,NZ,2021-10-26 23:24:00,broken clouds
20,Manzhouli,49.6,117.4333,32.07,79,0,7.9,CN,2021-10-26 23:27:40,clear sky
21,Havoysund,70.9963,24.6622,32.88,62,93,27.72,NO,2021-10-26 23:27:41,overcast clouds
22,Canaries,28.0,-15.5,64.36,71,40,5.01,ES,2021-10-26 23:27:41,scattered clouds
23,Atar,20.5169,-13.0499,84.15,31,63,10.78,MR,2021-10-26 23:27:42,broken clouds
24,Rikitea,-23.1203,-134.9692,73.74,86,100,16.17,PF,2021-10-26 23:26:34,moderate rain
25,Abancay,-13.6339,-72.8814,65.71,58,67,6.82,PE,2021-10-26 23:27:42,broken clouds
26,Leningradskiy,69.3833,178.4167,9.03,94,100,22.64,RU,2021-10-26 23:27:43,light snow
27,Igrim,63.1906,64.4162,25.07,60,65,10.78,RU,2021-10-26 23:27:43,broken clouds
28,Karratha,-20.7377,116.8463,73.36,28,0,9.28,AU,2021-10-26 23:27:44,clear sky
29,Lavrentiya,65.5833,-171.0,13.89,74,53,6.29,RU,2021-10-26 23:27:44,broken clouds
30,Faanui,-16.4833,-151.75,78.48,77,83,6.17,PF,2021-10-26 23:25:43,light rain
31,Anadyr,64.75,177.4833,1.9,85,75,8.95,RU,2021-10-26 23:27:45,broken clouds
32,New Norfolk,-42.7826,147.0587,61.92,57,6,1.99,AU,2021-10-26 23:26:09,clear sky
33,Albany,42.6001,-73.9662,54.81,94,100,1.01,US,2021-10-26 23:27:45,moderate rain
34,Vaini,-21.2,-175.2,77.16,83,40,14.97,TO,2021-10-26 23:27:46,scattered clouds
35,Livani,56.3543,26.1758,43.43,92,100,8.59,LV,2021-10-26 23:27:46,overcast clouds
36,Porto Novo,6.4965,2.6036,76.82,83,84,5.12,BJ,2021-10-26 23:26:30,broken clouds
37,Prince Rupert,54.3161,-130.3201,47.89,78,100,21.85,CA,2021-10-26 23:27:47,light rain
38,Yatou,37.15,122.3833,54.32,48,0,9.37,CN,2021-10-26 23:27:47,clear sky
39,Mataura,-46.1927,168.8643,64.4,62,84,2.21,NZ,2021-10-26 23:27:48,broken clouds
40,Bredasdorp,-34.5322,20.0403,64.0,85,100,15.93,ZA,2021-10-26 23:27:48,overcast clouds
41,Buala,-8.145,159.5921,85.96,66,51,5.68,SB,2021-10-26 23:27:49,broken clouds
42,Punta Arenas,-53.15,-70.9167,46.51,57,0,19.57,CL,2021-10-26 23:27:49,clear sky
43,Chokurdakh,70.6333,147.9167,-4.94,97,97,4.94,RU,2021-10-26 23:27:50,overcast clouds
44,Busselton,-33.65,115.3333,51.04,91,100,9.06,AU,2021-10-26 23:27:50,overcast clouds
45,Rondonopolis,-16.4708,-54.6356,78.57,76,83,2.62,BR,2021-10-26 23:23:41,broken clouds
46,San Quintin,30.4833,-115.95,65.64,61,0,21.47,MX,2021-10-26 23:27:51,clear sky
47,Cayenne,4.9333,-52.3333,81.09,86,75,5.01,GF,2021-10-26 23:27:51,broken clouds
48,Ca Mau,9.1769,105.15,74.77,87,99,3.85,VN,2021-10-26 23:27:52,overcast clouds
49,Chuy,-33.6971,-53.4616,70.0,77,0,7.23,UY,2021-10-26 23:27:52,clear sky
50,Kruisfontein,-34.0033,24.7314,64.89,79,98,18.32,ZA,2021-10-26 23:27:53,overcast clouds
51,Esperance,-33.8667,121.9,55.24,75,8,10.98,AU,2021-10-26 23:23:56,clear sky
52,Tupik,54.4253,119.9327,29.12,78,22,3.51,RU,2021-10-26 23:27:55,few clouds
53,Praia,14.9215,-23.5087,79.34,78,0,16.11,CV,2021-10-26 23:27:55,clear sky
54,Emerald,-23.5333,148.1667,85.98,45,40,11.5,AU,2021-10-26 23:27:02,scattered clouds
55,Ngama,11.7833,17.1667,85.15,48,69,8.12,TD,2021-10-26 23:27:56,broken clouds
56,Upernavik,72.7868,-56.1549,15.51,48,34,5.17,GL,2021-10-26 23:23:58,scattered clouds
57,Yellowknife,62.456,-114.3525,40.41,100,90,5.75,CA,2021-10-26 23:27:57,light rain
58,Palmer,42.1584,-72.3287,57.47,79,90,5.01,US,2021-10-26 23:27:57,overcast clouds
59,Tecoanapa,16.5167,-98.75,82.99,78,82,6.22,MX,2021-10-26 23:27:58,broken clouds
60,Ibra,22.6906,58.5334,72.59,80,0,3.94,OM,2021-10-26 23:27:58,clear sky
61,Butaritari,3.0707,172.7902,82.62,74,27,11.45,KI,2021-10-26 23:27:58,scattered clouds
62,Kachug,53.9606,105.8817,31.96,90,72,2.42,RU,2021-10-26 23:27:59,broken clouds
63,Saint Anthony,45.0205,-93.218,55.15,51,1,1.99,US,2021-10-26 23:28:01,clear sky
64,Hilo,19.7297,-155.09,82.13,70,1,13.8,US,2021-10-26 23:23:59,clear sky
65,Avera,33.194,-82.5271,66.7,53,0,7.14,US,2021-10-26 23:28:01,clear sky
66,Cabo San Lucas,22.8909,-109.9124,87.62,57,1,14.97,MX,2021-10-26 23:28:02,clear sky
67,Nizhnyaya Tavda,57.6731,66.1725,29.01,77,92,7.16,RU,2021-10-26 23:28:02,overcast clouds
68,Aripuana,-9.1667,-60.6333,73.96,82,73,2.75,BR,2021-10-26 23:28:03,light rain
69,Salalah,17.0151,54.0924,73.49,49,0,4.61,OM,2021-10-26 23:28:03,clear sky
70,Tiksi,71.6872,128.8694,13.93,95,100,1.25,RU,2021-10-26 23:26:29,overcast clouds
71,Avarua,-21.2078,-159.775,78.85,65,20,13.8,CK,2021-10-26 23:25:47,few clouds
72,Grindavik,63.8424,-22.4338,45.07,76,75,27.63,IS,2021-10-26 23:28:04,broken clouds
73,Nanortalik,60.1432,-45.2371,35.78,68,93,2.39,GL,2021-10-26 23:28:05,overcast clouds
74,Wilmington,34.2257,-77.9447,66.9,62,0,1.01,US,2021-10-26 23:24:22,clear sky
75,Portland,45.5234,-122.6762,57.24,88,90,1.99,US,2021-10-26 23:23:42,light rain
76,Dikson,73.5069,80.5464,13.03,89,100,8.3,RU,2021-10-26 23:27:01,overcast clouds
77,Magadan,59.5667,150.8,24.62,78,59,7.47,RU,2021-10-26 23:28:06,broken clouds
78,Shillong,25.5689,91.8831,54.63,80,0,0.76,IN,2021-10-26 23:28:06,clear sky
79,Saskylakh,71.9167,114.0833,1.18,98,100,1.59,RU,2021-10-26 23:26:03,overcast clouds
80,Kodiak,57.79,-152.4072,40.51,48,90,26.46,US,2021-10-26 23:28:07,overcast clouds
81,Hingatungan,10.584,125.1852,80.49,84,100,7.92,PH,2021-10-26 23:28:07,light rain
82,Zalari,53.5584,102.5065,36.14,74,71,5.26,RU,2021-10-26 23:28:08,broken clouds
83,Carnarvon,-24.8667,113.6333,68.07,56,90,10.36,AU,2021-10-26 23:28:09,overcast clouds
84,Niono,14.2526,-5.993,91.18,29,85,4.68,ML,2021-10-26 23:28:09,overcast clouds
85,Trairi,-3.2778,-39.2689,80.17,75,8,12.35,BR,2021-10-26 23:27:28,clear sky
86,Barrow,71.2906,-156.7887,24.82,86,90,3.44,US,2021-10-26 23:23:52,overcast clouds
87,Itarema,-2.9248,-39.9167,80.13,77,5,17.0,BR,2021-10-26 23:28:10,clear sky
88,Cidreira,-30.1811,-50.2056,69.24,71,0,9.98,BR,2021-10-26 23:28:11,clear sky
89,Ponta Do Sol,32.6667,-17.1,70.43,66,18,6.11,PT,2021-10-26 23:28:11,few clouds
90,Coihaique,-45.5752,-72.0662,55.35,54,75,6.91,CL,2021-10-26 23:24:02,broken clouds
91,Saurimo,-9.6608,20.3916,64.47,96,100,3.24,AO,2021-10-26 23:28:12,overcast clouds
92,Codrington,-38.2667,141.9667,64.89,53,0,15.52,AU,2021-10-26 23:28:12,clear sky
93,Amahai,-3.3333,128.9167,81.97,78,69,2.53,ID,2021-10-26 23:28:13,broken clouds
94,Vao,-22.6667,167.4833,72.39,85,100,10.29,NC,2021-10-26 23:28:13,overcast clouds
95,Barabai,-2.5833,115.3833,76.37,91,100,0.83,ID,2021-10-26 23:28:14,overcast clouds
96,Jamestown,42.097,-79.2353,44.19,96,90,5.99,US,2021-10-26 23:23:18,overcast clouds
97,Oranjemund,-28.55,16.4333,59.65,92,30,8.21,NA,2021-10-26 23:28:14,scattered clouds
98,Mahebourg,-20.4081,57.7,73.26,76,15,14.43,MU,2021-10-26 23:27:18,few clouds
99,Atuona,-9.8,-139.0333,77.52,70,5,13.85,PF,2021-10-26 23:28:15,clear sky
100,Teya,60.3778,92.6267,34.0,87,93,17.87,RU,2021-10-26 23:27:52,overcast clouds
101,Katsuura,35.1333,140.3,62.19,76,100,11.72,JP,2021-10-26 23:28:15,overcast clouds
102,Darab,28.7519,54.5444,62.26,22,0,4.05,IR,2021-10-26 23:28:16,clear sky
103,Saint-Philippe,-21.3585,55.7679,71.19,77,31,11.54,RE,2021-10-26 23:26:31,scattered clouds
104,Nikolskoye,59.7035,30.7861,44.4,92,100,7.85,RU,2021-10-26 23:28:16,light rain
105,Qaqortoq,60.7167,-46.0333,36.1,62,25,6.33,GL,2021-10-26 23:28:17,scattered clouds
106,Constitucion,-35.3333,-72.4167,56.19,84,22,16.84,CL,2021-10-26 23:27:41,few clouds
107,Mastic Beach,40.7668,-72.8521,61.54,90,90,11.99,US,2021-10-26 23:28:18,moderate rain
108,Panlaitan,12.1191,119.8486,82.04,76,77,5.08,PH,2021-10-26 23:28:18,broken clouds
109,Bac Lieu,9.285,105.7244,76.24,85,100,5.93,VN,2021-10-26 23:28:19,overcast clouds
110,Innisfail,-17.5333,146.0333,86.88,57,51,6.02,AU,2021-10-26 23:26:26,broken clouds
111,Inhambane,-23.865,35.3833,71.53,82,6,10.71,MZ,2021-10-26 23:28:19,clear sky
112,Sabang,5.8933,95.3214,80.83,77,96,10.56,ID,2021-10-26 23:28:20,overcast clouds
113,Vanimo,-2.6741,141.3028,80.13,88,70,6.69,PG,2021-10-26 23:23:45,broken clouds
114,Khatanga,71.9667,102.5,-8.18,100,97,2.82,RU,2021-10-26 23:28:20,overcast clouds
115,Ratnagiri,16.9833,73.3,74.89,65,1,5.84,IN,2021-10-26 23:28:21,clear sky
116,Hobart,-42.8794,147.3294,62.26,64,0,4.0,AU,2021-10-26 23:28:21,clear sky
117,Qaanaaq,77.484,-69.3632,18.91,95,100,14.18,GL,2021-10-26 23:25:54,light snow
118,Novyy Urengoy,66.0833,76.6333,19.53,94,100,13.35,RU,2021-10-26 23:28:22,overcast clouds
119,Souillac,-20.5167,57.5167,73.36,79,7,12.17,MU,2021-10-26 23:28:23,clear sky
120,Georgetown,5.4112,100.3354,78.73,92,20,0.0,MY,2021-10-26 23:24:33,few clouds
121,Tasiilaq,65.6145,-37.6368,37.56,82,100,7.9,GL,2021-10-26 23:28:23,overcast clouds
122,Moberly,39.4184,-92.4382,61.05,52,90,11.5,US,2021-10-26 23:28:24,overcast clouds
123,Taoudenni,22.6783,-3.9836,88.88,16,93,7.9,ML,2021-10-26 23:28:24,overcast clouds
124,Nhulunbuy,-12.2333,136.7667,88.41,62,40,10.36,AU,2021-10-26 23:25:17,scattered clouds
125,Cape Town,-33.9258,18.4232,67.12,62,0,3.0,ZA,2021-10-26 23:25:11,clear sky
126,Kaitangata,-46.2817,169.8464,60.55,70,93,3.62,NZ,2021-10-26 23:26:40,overcast clouds
127,Ostrovnoy,68.0531,39.5131,30.69,88,100,14.94,RU,2021-10-26 23:28:26,light snow
128,Moron,-34.6534,-58.6198,84.99,46,5,5.77,AR,2021-10-26 23:25:03,clear sky
129,Whitehorse,60.7161,-135.0538,32.09,92,90,3.0,CA,2021-10-26 23:28:27,overcast clouds
130,Bestobe,52.4994,73.0975,27.77,63,39,5.93,KZ,2021-10-26 23:28:27,scattered clouds
131,Tuktoyaktuk,69.4541,-133.0374,28.4,100,90,3.44,CA,2021-10-26 23:25:49,overcast clouds
132,Ikwiriri,-7.9562,38.9716,72.84,95,76,3.38,TZ,2021-10-26 23:28:28,broken clouds
133,Gravdal,68.1214,13.5031,42.62,85,100,3.58,NO,2021-10-26 23:28:28,overcast clouds
134,Namatanai,-3.6667,152.4333,84.97,67,52,5.97,PG,2021-10-26 23:26:38,light rain
135,Sitka,57.0531,-135.33,51.69,54,75,13.8,US,2021-10-26 23:28:29,light rain
136,Lebu,-37.6167,-73.65,53.37,81,0,16.58,CL,2021-10-26 23:28:30,clear sky
137,Hithadhoo,-0.6,73.0833,83.01,73,100,16.78,MV,2021-10-26 23:27:29,overcast clouds
138,Biscarrosse,44.3945,-1.1672,53.35,100,90,3.44,FR,2021-10-26 23:28:30,fog
139,Jinchang,38.4953,102.1739,38.32,80,26,4.09,CN,2021-10-26 23:28:31,scattered clouds
140,Chumikan,54.7183,135.315,36.19,98,100,1.95,RU,2021-10-26 23:28:31,light rain
141,Saldanha,-33.0117,17.9442,65.66,63,57,9.26,ZA,2021-10-26 23:26:13,broken clouds
142,Baiyin,36.5583,104.2081,40.08,69,51,1.05,CN,2021-10-26 23:28:32,broken clouds
143,Ambon,-3.6954,128.1814,80.74,89,20,3.44,ID,2021-10-26 23:28:32,few clouds
144,Torbay,47.6666,-52.7314,40.39,91,90,3.44,CA,2021-10-26 23:26:09,overcast clouds
145,Athabasca,54.7169,-113.2854,53.29,44,54,5.57,CA,2021-10-26 23:28:33,broken clouds
146,Qianan,44.9932,124.0581,38.3,53,45,9.13,CN,2021-10-26 23:28:33,scattered clouds
147,Grand Gaube,-20.0064,57.6608,73.38,72,3,7.0,MU,2021-10-26 23:28:34,light rain
148,Pevek,69.7008,170.3133,10.65,93,100,13.02,RU,2021-10-26 23:26:52,overcast clouds
149,Kastamonu,41.5,33.6667,35.56,84,0,0.96,TR,2021-10-26 23:28:34,clear sky
150,Saint-Pierre,-21.3393,55.4781,71.28,55,0,5.75,RE,2021-10-26 23:26:05,clear sky
151,Tautira,-17.7333,-149.15,84.22,81,47,10.87,PF,2021-10-26 23:28:35,light rain
152,Luderitz,-26.6481,15.1594,57.25,94,4,2.66,NA,2021-10-26 23:28:36,clear sky
153,Leh,34.1667,77.5833,28.42,65,98,1.03,IN,2021-10-26 23:28:36,overcast clouds
154,Srednekolymsk,67.45,153.6833,-7.82,99,24,3.13,RU,2021-10-26 23:28:37,few clouds
155,Riyadh,24.6877,46.7219,77.14,22,0,9.8,SA,2021-10-26 23:25:52,clear sky
156,Padang,-0.9492,100.3543,75.25,89,100,4.23,ID,2021-10-26 23:28:37,moderate rain
157,Vigrestad,58.5667,5.7,52.81,97,100,17.49,NO,2021-10-26 23:28:38,moderate rain
158,Port Lincoln,-34.7333,135.8667,66.58,69,99,4.03,AU,2021-10-26 23:28:38,overcast clouds
159,Inuvik,68.3499,-133.7218,27.46,93,90,0.0,CA,2021-10-26 23:28:39,overcast clouds
160,Otradnoye,59.7775,30.8181,44.56,92,100,7.87,RU,2021-10-26 23:28:39,light rain
161,Vila Franca Do Campo,37.7167,-25.4333,70.21,86,32,13.6,PT,2021-10-26 23:28:40,scattered clouds
162,Kaseda,31.4167,130.3167,56.43,67,53,8.34,JP,2021-10-26 23:28:40,broken clouds
163,Arraial Do Cabo,-22.9661,-42.0278,73.36,94,90,6.91,BR,2021-10-26 23:27:17,light rain
164,Dingle,10.9995,122.6711,78.22,90,100,6.15,PH,2021-10-26 23:26:32,overcast clouds
165,Hamilton,39.1834,-84.5333,53.04,68,1,6.91,US,2021-10-26 23:28:41,clear sky
166,Carutapera,-1.195,-46.02,80.06,76,13,10.2,BR,2021-10-26 23:28:41,few clouds
167,Sao Jose De Ribamar,-2.5619,-44.0542,82.78,78,7,14.58,BR,2021-10-26 23:28:42,clear sky
168,Fez,34.0372,-4.9998,62.85,55,0,5.75,MA,2021-10-26 23:25:04,clear sky
169,Acarau,-2.8856,-40.12,80.24,77,5,18.1,BR,2021-10-26 23:28:42,clear sky
170,Bambous Virieux,-20.3428,57.7575,73.22,76,22,14.72,MU,2021-10-26 23:28:43,light rain
171,Dungarpur,23.8333,73.7167,69.87,61,23,6.4,IN,2021-10-26 23:28:43,few clouds
172,Koslan,63.4564,48.8989,26.53,94,100,8.93,RU,2021-10-26 23:28:44,light snow
173,Zastron,-30.3023,27.084,58.57,50,51,5.14,ZA,2021-10-26 23:28:44,broken clouds
174,Pozo Colorado,-23.4923,-58.7972,75.96,41,0,4.63,PY,2021-10-26 23:28:45,clear sky
175,Longyearbyen,78.2186,15.6401,15.64,79,75,12.66,SJ,2021-10-26 23:28:45,broken clouds
176,Maroantsetra,-15.4333,49.7333,70.84,86,44,1.23,MG,2021-10-26 23:28:45,scattered clouds
177,La Macarena,2.1837,-73.7849,72.82,98,100,1.19,CO,2021-10-26 23:28:46,moderate rain
178,Miri,4.4148,114.0089,78.94,89,20,4.61,MY,2021-10-26 23:28:47,few clouds
179,Lenger,42.183,69.8839,45.84,43,100,3.27,KZ,2021-10-26 23:28:48,overcast clouds
180,Vicuna,-30.0319,-70.7081,73.78,54,1,3.74,CL,2021-10-26 23:28:48,clear sky
181,Tual,-5.6667,132.75,83.91,75,88,9.84,ID,2021-10-26 23:28:50,light rain
182,Labuhan,-6.8844,112.2051,79.75,80,93,9.24,ID,2021-10-26 23:28:50,overcast clouds
183,Muros,42.7762,-9.0603,61.84,95,69,4.14,ES,2021-10-26 23:28:51,broken clouds
184,Vila Velha,-20.3297,-40.2925,75.15,94,20,5.75,BR,2021-10-26 23:27:35,few clouds
185,Shirokiy,49.758,129.523,35.69,83,99,4.23,RU,2021-10-26 23:28:51,overcast clouds
186,Arlit,18.7369,7.3853,85.46,12,0,5.3,NE,2021-10-26 23:28:52,clear sky
187,Nabire,-3.3667,135.4833,79.97,82,39,1.66,ID,2021-10-26 23:28:52,light rain
188,Severo-Kurilsk,50.6789,156.125,45.39,82,100,2.64,RU,2021-10-26 23:28:53,overcast clouds
189,Coahuayana,18.7333,-103.6833,87.28,72,100,4.25,MX,2021-10-26 23:27:03,overcast clouds
190,Nara,34.6851,135.8049,62.98,84,97,1.74,JP,2021-10-26 23:28:53,overcast clouds
191,Sioux Lookout,50.1001,-91.917,39.58,65,75,8.05,CA,2021-10-26 23:28:54,broken clouds
192,Naryan-Mar,67.6713,53.087,15.28,90,15,3.0,RU,2021-10-26 23:28:54,few clouds
193,Norman Wells,65.282,-126.8329,28.44,86,90,3.44,CA,2021-10-26 23:28:55,light snow
194,San Rafael Del Sur,11.8485,-86.4384,85.17,80,99,3.47,NI,2021-10-26 23:28:55,overcast clouds
195,Bandarbeyla,9.4942,50.8122,77.0,81,54,3.09,SO,2021-10-26 23:28:56,broken clouds
196,Port Elizabeth,-33.918,25.5701,67.1,88,90,18.41,ZA,2021-10-26 23:28:56,overcast clouds
197,Kavaratti,10.5669,72.642,81.55,75,71,14.83,IN,2021-10-26 23:28:57,broken clouds
198,Dalbandin,28.8947,64.4101,61.47,17,0,6.89,PK,2021-10-26 23:28:57,clear sky
199,Lompoc,34.6391,-120.4579,75.56,59,1,13.8,US,2021-10-26 23:28:56,clear sky
200,Solnechnyy,50.7214,136.6319,39.15,89,100,1.79,RU,2021-10-26 23:26:58,overcast clouds
201,Yamasaki,35.0,134.55,63.34,76,100,0.85,JP,2021-10-26 23:28:59,overcast clouds
202,Ancud,-41.8697,-73.8203,53.42,91,93,7.43,CL,2021-10-26 23:29:00,overcast clouds
203,Kifri,34.6959,44.9661,70.77,26,8,5.73,IQ,2021-10-26 23:29:00,clear sky
204,Terdal,16.5,75.05,68.25,64,0,7.67,IN,2021-10-26 23:29:01,clear sky
205,Cherskiy,68.75,161.3,-17.77,100,96,4.36,RU,2021-10-26 23:29:02,overcast clouds
206,Inta,66.0317,60.1659,13.42,96,91,8.25,RU,2021-10-26 23:29:03,overcast clouds
207,Bethel,41.3712,-73.414,60.51,93,100,3.0,US,2021-10-26 23:29:03,moderate rain
208,Ouahigouya,13.5828,-2.4216,86.29,23,44,6.82,BF,2021-10-26 23:29:03,scattered clouds
209,Marsa Matruh,31.3525,27.2453,68.2,83,20,5.75,EG,2021-10-26 23:29:04,few clouds
210,Peraiyur,9.7358,77.7896,75.42,87,89,2.55,IN,2021-10-26 23:29:04,overcast clouds
211,Castro,-24.7911,-50.0119,60.75,80,100,5.3,BR,2021-10-26 23:26:37,overcast clouds
212,Port Moresby,-9.4431,147.1797,83.62,74,40,3.44,PG,2021-10-26 23:29:05,haze
213,Sambhar,26.9167,75.2,64.56,45,0,5.01,IN,2021-10-26 23:29:05,clear sky
214,Kungurtug,50.5994,97.5228,30.34,56,10,3.24,RU,2021-10-26 23:29:06,clear sky
215,Arnedo,42.2167,-2.1,48.6,74,18,2.55,ES,2021-10-26 23:29:06,few clouds
216,Fortuna Foothills,32.6578,-114.4119,78.89,17,1,5.01,US,2021-10-26 23:29:07,clear sky
217,Nantucket,41.2835,-70.0995,60.94,89,90,28.77,US,2021-10-26 23:29:07,light rain
218,Kamenka,51.3223,42.7678,33.24,56,93,8.81,RU,2021-10-26 23:27:33,overcast clouds
219,Saint George,37.1041,-113.5841,64.63,36,90,4.0,US,2021-10-26 23:27:17,overcast clouds
220,Cairns,-16.9167,145.7667,89.11,61,40,5.75,AU,2021-10-26 23:25:17,scattered clouds
221,Matara,5.9485,80.5353,74.71,90,100,6.6,LK,2021-10-26 23:29:08,overcast clouds
222,Jiaocheng,24.6774,116.1389,67.59,81,96,2.75,CN,2021-10-26 23:29:09,overcast clouds
223,Meulaboh,4.1363,96.1285,75.38,90,100,5.08,ID,2021-10-26 23:29:09,overcast clouds
224,Puerto Ayora,-0.7393,-90.3518,68.56,91,93,1.99,EC,2021-10-26 23:29:10,overcast clouds
